## REPORT METADATA
Start Date,2026-08-07
End Date,2026-08-13
Week Ending,"August 13th, 2026"
Date Range Label,"August 7 – August 13, 2026"

## KPI SUMMARY
Metric,Total,External,Ext %,In-House,IH %
Total Booked,139,14,10.1%,124,89.2%
Show Rate,58.3%,64.3%,,58.1%,
Showed,81,9,11.1%,72,88.9%
Qualified,60,6,10.0%,53,88.3%
Closed Won,13,1,7.7%,10,76.9%
Close Rate (b→c),9.4%,7.1%,,8.1%,
Revenue,"$79,064","$3,000",3.8%,"$61,067",77.2%
Avg Deal,"$6,082","$3,000",,"$6,107",

## FUNNEL BREAKDOWN
Group,Funnel,Excluded From Totals,Booked,On Pace,Goal %,Showed,Show %,Qualified,Qual %,Closed,CW %,Revenue,Rev/Close,Avg Sales Cycle (Days)
IN-HOUSE,YouTube,,12,12,9% (132),10,83.3%,7,58.3%,2,16.7%,"$11,897","$5,948",11.5
IN-HOUSE,Meta Ads,,7,7,16% (44),5,71.4%,4,57.1%,,0.0%,$0,,
IN-HOUSE,Website,,16,16,16% (100),11,68.8%,9,56.2%,5,31.2%,"$25,179","$5,036",21.0
IN-HOUSE,Internal Webinar,,21,21,30% (70),13,61.9%,6,28.6%,1,4.8%,"$8,997","$8,997",19.0
IN-HOUSE,Side Hustle Nation,,1,1,100% (1),0,0.0%,0,0.0%,,0.0%,$0,,
IN-HOUSE,WWWS,,1,1,100% (1),1,100.0%,1,100.0%,,0.0%,$0,,
IN-HOUSE,Reactivation Scrapers,,59,59,,29,49.2%,24,40.7%,2,3.4%,"$14,994","$7,497",93.0
IN-HOUSE,Google Ads,,7,7,,3,42.9%,2,28.6%,,0.0%,$0,,
EXTERNAL,Instagram,,11,11,4% (300),7,63.6%,5,45.5%,1,9.1%,"$3,000","$3,000",27.0
EXTERNAL,X,,1,1,10% (10),1,100.0%,1,100.0%,,0.0%,$0,,
EXTERNAL,Linkedin,,2,2,20% (10),1,50.0%,0,0.0%,,0.0%,$0,,
UNCATEGORIZED,No Attribution,,1,1,,0,0.0%,1,100.0%,2,200.0%,"$14,997","$7,498",
TOTAL,TOTAL,,139,,,81,58.3%,60,43.2%,13,9.4%,"$79,064","$6,082",33.9
